SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
205.86,205.69,205.69,205.69,205.69,267.28,205.69,205.69,205.69,205.69,205.69,205.69,205.69,188.73,277.55,277.55,277.55,
224.1,225.3,225.3,225.3,225.3,272.18,225.3,225.3,223.42,223.42,223.42,225.3,225.3,194.66,286.35,287.14,287.14,
219.75,228.79,228.79,228.79,228.79,269.05,228.79,228.79,208.49,208.49,208.49,228.79,228.79,194.48,283.09,283.09,283.09,
206.49,204.66,204.66,204.66,204.66,284.4,204.66,204.66,204.66,204.66,204.66,204.66,204.66,193.72,309.76,316.52,421.75,
189.77,189.53,189.53,189.53,189.53,190.26,189.26,189.53,189.53,189.53,189.53,197.58,197.58,186.11,220.01,234.85,269.48,
174.37,170.09,170.09,170.09,170.09,183.93,158.24,169.11,170.16,170.16,171.74,198.31,198.31,182.51,195.85,201.55,261.63,
194.66,190.03,190.03,190.03,190.03,310.7,190.03,190.03,190.15,190.15,190.15,196.54,196.54,188.43,310.7,315.4,337.43,
188.99,181.74,181.74,181.74,181.74,264.04,172.56,181.74,185.16,185.16,185.16,199.31,199.31,185.75,264.04,264.04,264.04,
199.16,196.54,196.54,196.54,196.54,257.94,196.54,196.54,197.31,197.31,197.66,202.55,202.55,194.52,257.94,265.95,265.95,
200.2,196.55,196.55,196.55,196.55,298.19,196.55,196.55,196.55,196.55,196.55,196.55,196.55,195.23,298.19,305.27,328.63,
199.58,196.81,196.81,196.81,196.81,271.13,196.81,196.81,196.81,196.81,196.81,196.98,196.98,194,271.31,271.31,271.31,
198.13,198.52,198.52,198.52,198.52,225.18,198.53,198.52,198.52,198.52,198.52,202.09,202.09,189.35,227.57,227.57,297.15,
196.35,195.73,195.73,195.73,195.73,209.3,194.5,195.73,195.73,195.73,195.73,204.98,204.98,190.71,218.46,237.78,250.22,
228.24,222.97,222.97,223.19,223.19,292.68,223.2,223.85,223.19,223.19,223.19,224.76,224.76,199.37,292.68,320.62,356.76,
227.12,220.31,220.31,220.31,220.31,299.75,220.31,220.31,220.31,220.31,220.31,221.47,221.47,201.01,299.75,355.69,418.22,
221.92,220.65,220.65,220.65,220.65,263.87,220.65,220.65,220.65,220.65,220.65,220.71,220.71,202.35,263.87,291.85,360.01,
232.59,235.44,235.44,235.44,235.44,253.86,235.44,235.44,235.44,235.44,235.44,235.44,235.44,201.84,253.86,273.74,417.4,
207.3,204.73,204.73,205.9,205.9,304.48,203.08,206.36,205.9,205.9,205.9,204.79,204.79,203.25,304.48,372.12,372.12,
205.74,207.56,207.56,207.56,207.56,207.56,207.56,207.56,207.56,207.56,207.56,207.85,207.85,195.87,217.2,220.89,220.89,
199.13,199.55,199.55,199.55,199.55,199.55,198.67,199.82,199.55,199.55,199.55,203.87,203.87,192.15,202.07,202.07,202.07,
222.2,229.26,229.26,229.26,229.26,229.26,228.73,234.59,229.26,229.26,229.26,229.7,229.7,203.76,243.14,269.96,269.96,
221.24,224.12,224.12,224.12,224.12,224.12,224.12,224.12,224.12,224.12,224.12,224.23,224.23,206.88,233.42,258.43,258.43,
230.2,233.01,233.01,233.01,233.01,286.01,237.72,237.72,233.01,233.01,233.01,233.01,233.01,205.43,287.58,296.41,303.98,
197.61,197.36,197.36,197.36,197.36,208.61,197.36,197.39,197.36,197.36,197.36,197.36,197.36,197,231.83,339.52,339.52,
202.08,201.46,201.46,201.46,202.95,239.01,201.46,203.19,201.46,201.46,201.46,201.46,201.46,199.61,239.01,278.76,278.76,
172.13,172.15,172.15,172.15,172.15,172.15,172.12,172.15,172.15,172.15,172.15,172.15,172.15,172.15,172.15,172.15,172.15,
150.73,147.59,147.59,147.59,147.59,147.59,147.59,147.59,147.59,147.59,147.59,156.31,156.31,156.31,147.59,147.59,147.59,
196.75,196.13,196.13,196.13,199.84,199.53,196.13,199.94,196.13,196.13,196.13,196.13,196.13,196.13,199.53,252.23,252.23,
