SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
332.24,331.05,331.05,331.05,331.05,412.87,331.05,331.05,316.46,316.46,316.46,331.05,331.05,331.05,413.88,,417.07,417.07
341.55,349.46,349.46,349.46,349.46,422.46,350.02,349.46,322.22,322.22,322.22,349.46,349.46,349.46,421.95,,422.56,422.56
347.13,349.08,349.08,349.08,349.08,488.16,528.51,349.08,328.33,328.33,328.33,349.08,349.08,344.4,488.16,,493.12,493.12
343.78,343.21,343.21,343.21,344.57,449.44,3760.78,344.57,332.4,332.4,332.4,343.21,343.21,340.31,449.12,,468.04,468.04
308.23,307.42,307.42,307.42,307.42,311.6,307.42,307.42,307.42,307.42,307.42,307.42,307.42,307.42,319.86,,319.86,319.86
306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,306.04,343.22,,343.22,343.22
346.64,352.46,352.46,352.46,352.46,480.72,352.46,352.46,335.67,335.67,335.67,352.46,352.46,352.46,449.83,,449.83,449.83
356.9,375.86,375.86,375.86,375.86,426.42,375.86,375.86,341.94,341.94,341.94,375.86,375.86,375.86,516.12,,516.12,516.12
343.99,369.42,369.42,369.42,369.42,369.42,369.42,369.42,336.25,336.25,336.25,369.42,369.42,369.42,475.36,,475.36,475.36
314.71,322.88,322.88,322.88,322.88,351.06,311.18,322.88,306.52,306.52,306.52,322.88,322.88,322.88,478.11,,478.11,478.11
292.87,313.53,313.53,313.53,313.53,326.62,273.53,298.13,272.92,272.92,272.92,313.53,313.53,313.53,399.04,,399.04,399.04
276.87,276.66,276.66,276.66,276.66,276.66,276.66,276.66,276.66,277.42,276.66,276.66,276.66,276.66,469.46,,469.46,469.46
243.62,243,243,243,243,243,241.88,242.94,243,243,243,246.45,246.45,246.45,500.74,,500.74,500.74
308.11,332.88,332.88,332.88,332.88,341.6,330.52,332.88,294.87,295.1,294.87,332.88,332.88,332.88,476.71,,476.71,476.71
309.05,326.68,326.68,326.68,326.68,326.68,326.06,326.68,292.53,292.53,292.53,326.68,326.68,326.68,542.18,,542.18,542.18
295.81,314.32,314.32,314.32,314.32,314.32,310.25,314.32,283.93,284.23,283.93,314.32,314.32,314.32,420.31,,433.44,433.44
293.24,323.2,323.2,323.2,323.2,323.2,323.66,323.93,267.31,267.5,267.31,323.2,323.2,323.2,449.43,,472.47,472.47
251.23,251.78,251.78,251.78,251.78,251.78,251.41,251.53,253.82,253.82,253.82,251.82,251.82,251.82,412.81,,477.32,477.32
151.72,149.03,149.03,149.03,149.03,149.03,149.03,149.03,153.67,153.67,153.67,149.03,149.03,149.03,473,,473.06,473.06
168.17,168.42,168.42,168.42,168.42,168.42,168.12,168.42,168.2,168.2,168.2,168.42,168.42,168.42,492.21,,492.21,492.21
275.2,297.75,297.75,297.75,297.75,297.75,297.75,297.75,256.09,256.48,256.09,297.75,297.75,287.38,566.58,,566.58,566.58
297.85,308.44,308.44,308.44,312.58,443.17,312.95,313.51,278.15,278.15,278.15,307.95,307.95,299.65,918.15,,918.15,918.15
269.44,271.19,271.19,271.19,273.34,324.16,255.46,267.28,260.12,260.12,260.12,271.19,271.19,271.19,567.41,,567.41,567.41
286.57,281.33,281.33,281.33,324.49,344.51,281.33,328.64,278.07,278.18,277.69,281.33,281.33,281.33,621.85,,633.97,633.97
289.27,286.77,286.77,286.77,295.9,379.25,285.49,295.95,282.3,282.3,282.3,286.77,286.77,286.77,417.66,,555.57,555.57
258.64,257.59,257.59,257.59,257.59,298.85,254.86,257.59,257.59,257.59,257.57,257.59,257.59,257.59,406,,406.93,406.93
225.58,226.58,226.58,226.58,226.58,230.86,213.43,213.43,226.29,226.29,226.29,226.58,226.58,226.58,409.95,,409.95,409.95
283.62,276.67,276.67,276.67,280.84,371.13,277.75,283.82,275.39,275.39,275.32,276.67,276.67,276.67,377.38,,395.49,395.49
289.31,283.61,283.61,283.61,319.56,340.18,323.51,323.51,282.92,282.92,282.92,283.61,283.61,283.61,343.34,,401.08,401.08
280.12,270.09,270.09,270.09,291.37,342.11,268.73,291.37,269.26,269.41,269.26,270.09,270.09,270.09,356.93,,414.06,414.06
288.29,278.61,278.61,278.61,327.5,358.87,352.27,352.27,277.25,277.39,277.25,278.61,278.61,278.61,359.37,,378.2,378.2
276,268.85,268.85,268.85,290.51,365.54,293.23,293.23,268.8,268.8,268.67,268.85,268.85,268.85,372,,392.65,392.65
252.29,251.8,251.8,251.8,251.8,254.26,251.55,251.8,252.49,252.92,252.11,251.8,251.8,251.99,372.84,,423.35,423.35
252,251.69,251.69,251.69,251.69,251.69,251.69,251.69,253.27,253.27,253.27,251.69,251.69,251.69,328.11,,329.28,329.28
281.11,283.68,283.68,283.68,288.86,309.09,290.22,290.22,273.7,273.7,273.7,283.68,283.68,283.68,318.38,,367.32,367.32
278.88,277.41,277.41,277.41,280.34,341.62,287.06,287.06,276.45,276.45,276.14,277.41,277.41,277.41,367.2,,421.34,421.34
